 x 	V[Y|X = x] 
1.726	0.0145347
1.728	0.0145356
1.73	0.0145363
1.732	0.0145369
1.734	0.0145374
1.736	0.0145377
1.738	0.014538
1.74	0.0145381
1.742	0.0145382
1.744	0.0145382
1.746	0.0145382
1.748	0.0145381
1.75	0.0145381
1.752	0.0145381
1.754	0.0145381
1.756	0.0145381
1.758	0.0145383
1.76	0.0145385
1.762	0.0145389
1.764	0.0145394
1.766	0.0145401
1.768	0.014541
1.77	0.0145421
1.772	0.0145434
1.774	0.014545
1.776	0.0145468
1.778	0.0145489
1.78	0.0145514
1.782	0.0145542
1.784	0.0145573
1.786	0.0145608
1.788	0.0145646
1.79	0.0145689
1.792	0.0145735
1.794	0.0145786
1.796	0.0145841
1.798	0.0145901
1.8	0.0145965
1.802	0.0146035
1.804	0.0146108
1.806	0.0146187
1.808	0.0146271
1.81	0.0146359
1.812	0.0146453
1.814	0.0146552
1.816	0.0146655
1.818	0.0146764
1.82	0.0146878
1.822	0.0146997
1.824	0.014712
1.826	0.0147249
1.828	0.0147382
1.83	0.014752
1.832	0.0147662
1.834	0.0147809
1.836	0.014796
1.838	0.0148114
1.84	0.0148272
1.842	0.0148434
1.844	0.0148598
1.846	0.0148765
1.848	0.0148934
1.85	0.0149105
1.852	0.0149277
1.854	0.0149451
1.856	0.0149624
1.858	0.0149798
1.86	0.0149971
1.862	0.0150143
1.864	0.0150313
1.866	0.015048
1.868	0.0150645
1.87	0.0150805
1.872	0.0150962
1.874	0.0151113
1.876	0.0151258
1.878	0.0151397
1.88	0.015153
1.882	0.0151654
1.884	0.015177
1.886	0.0151878
1.888	0.0151976
1.89	0.0152064
1.892	0.0152142
1.894	0.0152208
1.896	0.0152264
1.898	0.0152308
1.9	0.015234
1.902	0.0152361
1.904	0.0152369
1.906	0.0152364
1.908	0.0152348
1.91	0.0152319
1.912	0.0152277
1.914	0.0152224
1.916	0.0152159
1.918	0.0152082
1.92	0.0151994
1.922	0.0151896
1.924	0.0151787
1.926	0.0151668
1.928	0.0151539
1.93	0.0151402
1.932	0.0151256
1.934	0.0151103
1.936	0.0150943
1.938	0.0150776
1.94	0.0150604
1.942	0.0150426
1.944	0.0150244
1.946	0.0150058
1.948	0.0149869
1.95	0.0149677
1.952	0.0149483
1.954	0.0149288
1.956	0.0149092
1.958	0.0148896
1.96	0.01487
1.962	0.0148504
1.964	0.0148309
1.966	0.0148116
1.968	0.0147925
1.97	0.0147736
1.972	0.0147549
1.974	0.0147365
1.976	0.0147185
1.978	0.0147007
1.98	0.0146833
1.982	0.0146663
1.984	0.0146497
1.986	0.0146334
1.988	0.0146176
1.99	0.0146021
1.992	0.0145871
1.994	0.0145726
1.996	0.0145584
1.998	0.0145447
